,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity
11,2020-10-22 09:00:11+00:00,936,Op-Ed,nyt://article/093473a5-d259-588e-a150-a0d9c4c2786f,The Justice Department is demanding that the company prove its greatness by competing in the market.,"The true significance of the federal antitrust lawsuit filed against Google on Tuesday cannot be captured by any narrow debate about legal doctrine or what the case will mean for the company. This is a big case, filed during an important time, and it merits a commensurately broad understanding. The complaint marks the return of the U.S. government to a role that many of us long feared it had abandoned: disciplining the country’s largest and most powerful monopolies.",The Justice Department is demanding that the company prove its greatness by competing in the market.,"Google, You Can’t Buy Your Way Out of This","The Justice Department is demanding that the company prove its greatness by competing in the market. The true significance of the federal antitrust lawsuit filed against Google on Tuesday cannot be captured by any narrow debate about legal doctrine or what the case will mean for the company. This is a big case, filed during an important time, and it merits a commensurately broad understanding. The complaint marks the return of the U.S. government to a role that many of us long feared it had abandoned: disciplining the country’s largest and most powerful monopolies. The Justice Department is demanding that the company prove its greatness by competing in the market. Google, You Can’t Buy Your Way Out of This ",2,2,0.12083333333333333,0.4958333333333334
12,2020-07-29 10:58:59+00:00,1929,News,nyt://article/0940b65d-fd71-5ab3-b13e-28d0e504a2d1,How to get answers from the tech executives testifying at a high-profile congressional hearing today.,Want this delivered to your inbox each day? Sign up here.,How to get answers from the tech executives testifying at a high-profile congressional hearing today.,We Have Questions,How to get answers from the tech executives testifying at a high-profile congressional hearing today. Want this delivered to your inbox each day? Sign up here. How to get answers from the tech executives testifying at a high-profile congressional hearing today. We Have Questions ,3,0,0.0,0.0
13,2020-07-14 09:00:16+00:00,1840,Op-Ed,nyt://article/0b5045f6-2e12-5c47-ac6d-dbaf6fe43c31,What we talk about when we talk about “cancellation.”,"Cancel culture is destroying liberalism. No, cancel culture doesn’t exist. No, it has always existed; remember when Brutus and Cassius canceled Julius Caesar? No, it exists but it’s just a bunch of rich entitled celebrities complaining that people can finally talk back to them on Twitter. No, it doesn’t exist except when it’s good and the canceled deserve it. Actually, it does exist, but — well, look, I can’t explain it to you until you’ve read at least four open letters on the subject.",What we talk about when we talk about “cancellation.”,10 Theses About Cancel Culture,"What we talk about when we talk about “cancellation.” Cancel culture is destroying liberalism. No, cancel culture doesn’t exist. No, it has always existed; remember when Brutus and Cassius canceled Julius Caesar? No, it exists but it’s just a bunch of rich entitled celebrities complaining that people can finally talk back to them on Twitter. No, it doesn’t exist except when it’s good and the canceled deserve it. Actually, it does exist, but — well, look, I can’t explain it to you until you’ve read at least four open letters on the subject. What we talk about when we talk about “cancellation.” 10 Theses About Cancel Culture ",5,0,0.045370370370370366,0.40925925925925927
14,2020-07-29 16:01:54+00:00,1221,News,nyt://article/0bd1b1f0-7f90-5da2-bc7b-7b8cac4430ce,"Members of Congress may say dumb things at the tech hearing, but it’s not necessarily their fault.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"Members of Congress may say dumb things at the tech hearing, but it’s not necessarily their fault.",Congress Doesn’t Get Big Tech. By Design.,"Members of Congress may say dumb things at the tech hearing, but it’s not necessarily their fault. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Members of Congress may say dumb things at the tech hearing, but it’s not necessarily their fault. Congress Doesn’t Get Big Tech. By Design. ",5,0,-0.15,0.62
15,2021-11-16 12:46:08+00:00,262,News,nyt://article/0d5c22c4-e8b2-57c3-ae3f-c4bcabfc1cbc,"After regulatory fights, the search giant pledged to expand its hiring in the country.","Google announced on Tuesday that it would invest $740 million in Australia over the next five years, promising to build a research hub, increase its cloud computing capacity and team up with government scientists to address challenges like expanding the use of green energy.","After regulatory fights, the search giant pledged to expand its hiring in the country.","Google will invest $740 million in Australia, including a research hub.","After regulatory fights, the search giant pledged to expand its hiring in the country. Google announced on Tuesday that it would invest $740 million in Australia over the next five years, promising to build a research hub, increase its cloud computing capacity and team up with government scientists to address challenges like expanding the use of green energy. After regulatory fights, the search giant pledged to expand its hiring in the country. Google will invest $740 million in Australia, including a research hub. ",4,2,0.0,0.5599999999999999
16,2021-10-26 20:36:19+00:00,483,News,nyt://article/0f2c9baa-b0ac-5843-a76e-26735e5da660,The results easily topped analysts’ forecasts.,"Google’s parent company, Alphabet, shrugged off any concerns about a downturn in online advertising with another quarter of blockbuster earnings, lifted by continued strong demand for ads on YouTube and steady growth at its cloud computing business.",The results easily topped analysts’ forecasts.,Google’s profit and revenue soared in the third quarter.,"The results easily topped analysts’ forecasts. Google’s parent company, Alphabet, shrugged off any concerns about a downturn in online advertising with another quarter of blockbuster earnings, lifted by continued strong demand for ads on YouTube and steady growth at its cloud computing business. The results easily topped analysts’ forecasts. Google’s profit and revenue soared in the third quarter. ",5,2,0.29333333333333333,0.58
17,2020-10-07 21:02:41+00:00,754,News,nyt://article/0fec5a12-f178-53d6-807f-c99831885ba3,"In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies.","WASHINGTON — The Supreme Court considered on Wednesday whether Google should have to pay Oracle billions of dollars in a long-running lawsuit over software used on many of the world’s smartphones, wrestling during a lively argument with the potentially enormous implications of what has been called the copyright case of the decade.","In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies.",Supreme Court Hears Copyright Battle Between Google and Oracle,"In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies. WASHINGTON — The Supreme Court considered on Wednesday whether Google should have to pay Oracle billions of dollars in a long-running lawsuit over software used on many of the world’s smartphones, wrestling during a lively argument with the potentially enormous implications of what has been called the copyright case of the decade. In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies. Supreme Court Hears Copyright Battle Between Google and Oracle ",2,2,0.15227272727272728,0.58
18,2021-07-21 19:14:16+00:00,342,News,nyt://article/1026ea6b-26f0-56ad-8e27-12c327ec62cf,"The companies plan to begin offering the service this year, expanding later to Austin, Texas. A human will still be behind the wheel.","Ford Motor and its autonomous-driving affiliate, Argo AI, have formed an alliance with Lyft in an effort to begin offering rides in self-driving cars.","The companies plan to begin offering the service this year, expanding later to Austin, Texas. A human will still be behind the wheel.",Lyft will team up with Ford and a self-driving car start-up to offer rides in Miami.,"The companies plan to begin offering the service this year, expanding later to Austin, Texas. A human will still be behind the wheel. Ford Motor and its autonomous-driving affiliate, Argo AI, have formed an alliance with Lyft in an effort to begin offering rides in self-driving cars. The companies plan to begin offering the service this year, expanding later to Austin, Texas. A human will still be behind the wheel. Lyft will team up with Ford and a self-driving car start-up to offer rides in Miami. ",1,0,-0.13333333333333333,0.26666666666666666
19,2021-03-25 22:37:48+00:00,1483,News,nyt://article/1039b473-e21b-598d-a0d2-a2683745725f,Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change.,"The leaders of Google, Facebook and Twitter testified on Thursday before a House committee in their first appearances on Capitol Hill since the start of the Biden administration. As expected, sparks flew.",Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change.,Is a Big Tech Overhaul Just Around the Corner?,"Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change. The leaders of Google, Facebook and Twitter testified on Thursday before a House committee in their first appearances on Capitol Hill since the start of the Biden administration. As expected, sparks flew. Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change. Is a Big Tech Overhaul Just Around the Corner? ",5,1,0.1357142857142857,0.2619047619047619
20,2021-06-04 10:29:12+00:00,633,News,nyt://article/1120e9b3-6215-5840-a623-e554aa06e52f,"A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility.","It was an odd, unanswerable question. Still, it was on the mind of at least one Google user in India.","A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility.",India’s ‘Ugliest’ Language? Google Had an Answer (and Drew a Backlash).,"A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility. It was an odd, unanswerable question. Still, it was on the mind of at least one Google user in India. A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility. India’s ‘Ugliest’ Language? Google Had an Answer (and Drew a Backlash). ",1,4,-0.23333333333333334,0.325
21,2020-03-03 02:01:49+00:00,403,News,nyt://article/11a49bc1-e07c-5e93-9d25-3cd3a9620df0,"Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts.","SAN FRANCISCO — More than a decade after Google started experimenting with driverless cars, Waymo, the autonomous vehicle unit of Google’s parent company, Alphabet, says it has raised $2.25 billion, mostly from outside investors.","Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts.",Waymo Includes Outsiders in $2.25 Billion Investment Round,"Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts. SAN FRANCISCO — More than a decade after Google started experimenting with driverless cars, Waymo, the autonomous vehicle unit of Google’s parent company, Alphabet, says it has raised $2.25 billion, mostly from outside investors. Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts. Waymo Includes Outsiders in $2.25 Billion Investment Round ",3,2,0.2222222222222222,0.3944444444444444
24,2020-10-20 11:01:15+00:00,1852,News,nyt://article/1256951c-320e-5efc-a627-f88880c6a1ec,Partisan infighting may take pressure off the tech giants.,"On Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now.",Partisan infighting may take pressure off the tech giants.,The Case(s) Against Big Tech,"Partisan infighting may take pressure off the tech giants. On Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now. Partisan infighting may take pressure off the tech giants. The Case(s) Against Big Tech ",4,0,0.325,0.5097222222222222
25,2020-10-30 16:13:41+00:00,1161,News,nyt://article/12915540-88da-5a0a-9b30-4593a059370c,These companies have mastered spending big to stay Big Tech.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,These companies have mastered spending big to stay Big Tech.,Amazon and Google’s True Advantage,These companies have mastered spending big to stay Big Tech. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. These companies have mastered spending big to stay Big Tech. Amazon and Google’s True Advantage ,3,1,0.06999999999999999,0.21000000000000002
26,2021-09-21 14:16:36+00:00,1445,News,nyt://article/1598fe61-4bfa-5bb7-bcaf-11d4f1ab122e,"The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city.","Google announced on Tuesday that it would spend $2.1 billion to buy a sprawling Manhattan office building on the Hudson River waterfront, paying one of the largest prices in recent years for an office building in the United States and providing a jolt of optimism to a real estate industry lashed by the pandemic.","The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city.",Google to Spend $2.1 Billion on Manhattan Office Building,"The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city. Google announced on Tuesday that it would spend $2.1 billion to buy a sprawling Manhattan office building on the Hudson River waterfront, paying one of the largest prices in recent years for an office building in the United States and providing a jolt of optimism to a real estate industry lashed by the pandemic. The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city. Google to Spend $2.1 Billion on Manhattan Office Building ",1,2,0.05,0.6375
27,2020-10-20 22:53:17+00:00,922,News,nyt://article/15bcc832-e05e-518b-86fc-ad50a88efb9a,"The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.”","Two weeks ago, House lawmakers concluded a 16-month investigation into Amazon, Apple, Google and Facebook and called for sweeping changes to curb their market power. The lawmakers’ verdict: Traditional antitrust laws aren’t up to the challenge, and the laws need their biggest overhaul in more than 40 years.","The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.”",Google Up Against Laws That Thwarted Microsoft (and Others Since 1890),"The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.” Two weeks ago, House lawmakers concluded a 16-month investigation into Amazon, Apple, Google and Facebook and called for sweeping changes to curb their market power. The lawmakers’ verdict: Traditional antitrust laws aren’t up to the challenge, and the laws need their biggest overhaul in more than 40 years. The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.” Google Up Against Laws That Thwarted Microsoft (and Others Since 1890) ",2,2,0.175,0.4125
29,2021-02-16 08:00:08+00:00,1111,News,nyt://article/16b5151b-5e8a-5c92-bb6e-9c3446bec249,"Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly.","Google is facing antitrust cases from Europe’s top competition enforcer, the Justice Department and attorneys general from more than 30 states and territories.","Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly.",Big Tech’s Next Big Problem Could Come From People Like ‘Mr. Sweepy’,"Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly. Google is facing antitrust cases from Europe’s top competition enforcer, the Justice Department and attorneys general from more than 30 states and territories. Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly. Big Tech’s Next Big Problem Could Come From People Like ‘Mr. Sweepy’ ",5,1,0.18611111111111112,0.4083333333333333
30,2021-04-06 16:50:59+00:00,1057,News,nyt://article/174d765c-5f9e-5b58-bfaa-a0944cd59ffc,"In siding with Google, the Supreme Court gave software experts some love.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"In siding with Google, the Supreme Court gave software experts some love.",Google Won. So Did Tech.,"In siding with Google, the Supreme Court gave software experts some love. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. In siding with Google, the Supreme Court gave software experts some love. Google Won. So Did Tech. ",3,3,0.5,0.6
31,2021-01-04 11:00:08+00:00,1467,News,nyt://article/17654f45-8243-538c-9948-54d87606948d,"The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change.","OAKLAND, Calif. — More than 400 Google engineers and other workers have formed a union, the group revealed on Monday, capping years of growing activism at one of the world’s largest companies and presenting a rare beachhead for labor organizers in staunchly anti-union Silicon Valley.","The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change.","Hundreds of Google Employees Unionize, Culminating Years of Activism","The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change. OAKLAND, Calif. — More than 400 Google engineers and other workers have formed a union, the group revealed on Monday, capping years of growing activism at one of the world’s largest companies and presenting a rare beachhead for labor organizers in staunchly anti-union Silicon Valley. The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change. Hundreds of Google Employees Unionize, Culminating Years of Activism ",5,4,0.225,0.5916666666666667
33,2020-12-21 23:56:15+00:00,561,News,nyt://article/18952d0f-a173-5c9a-9e51-4ae4cebdb99c,"The company said people use its services because they choose to, not because they lack alternatives.","Google said on Monday that it had not used its multibillion-dollar deals with other large tech firms to protect its position as the dominant online search engine, in the company’s first formal rebuttal to the Justice Department’s accusations that those deals violated antitrust laws.","The company said people use its services because they choose to, not because they lack alternatives.",Google Denies Antitrust Claims in Early Response to U.S. Lawsuit,"The company said people use its services because they choose to, not because they lack alternatives. Google said on Monday that it had not used its multibillion-dollar deals with other large tech firms to protect its position as the dominant online search engine, in the company’s first formal rebuttal to the Justice Department’s accusations that those deals violated antitrust laws. The company said people use its services because they choose to, not because they lack alternatives. Google Denies Antitrust Claims in Early Response to U.S. Lawsuit ",5,2,0.10982142857142857,0.3592261904761905
35,2020-12-16 19:19:34+00:00,1378,News,nyt://article/1a121624-2517-5b8d-8235-b9fbc456b649,The suit focuses on the advertisements that generate a vast majority of the company’s profits.,"Ten state attorneys general on Wednesday accused Google of illegally abusing its monopoly over the technology that delivers ads online, adding to the company’s legal troubles with a case that strikes at the heart of its business.",The suit focuses on the advertisements that generate a vast majority of the company’s profits.,10 States Accuse Google of Abusing Monopoly in Online Ads,"The suit focuses on the advertisements that generate a vast majority of the company’s profits. Ten state attorneys general on Wednesday accused Google of illegally abusing its monopoly over the technology that delivers ads online, adding to the company’s legal troubles with a case that strikes at the heart of its business. The suit focuses on the advertisements that generate a vast majority of the company’s profits. 10 States Accuse Google of Abusing Monopoly in Online Ads ",1,2,-0.04166666666666666,0.5333333333333333
36,2020-02-04 00:33:12+00:00,1132,News,nyt://article/1a50ad8a-99d9-5081-8a76-4310ca49ea70,"Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies.","SAN FRANCISCO — When Google’s parent company, Alphabet, said on Monday that revenue at the company soared past $161 billion last year, it was a stark reminder of the widening gap between tech’s wealthiest outfits and the rest of the industry.","Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies.",The Gap Between the Haves and Have-Nots of Tech Widens,"Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies. SAN FRANCISCO — When Google’s parent company, Alphabet, said on Monday that revenue at the company soared past $161 billion last year, it was a stark reminder of the widening gap between tech’s wealthiest outfits and the rest of the industry. Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies. The Gap Between the Haves and Have-Nots of Tech Widens ",2,1,0.15,0.3738095238095238
39,2020-05-01 17:26:57+00:00,907,News,nyt://article/1b3733e8-aa70-53dd-9a63-9f194d27f293,"When the most successful companies are anxious, you know we’re in scary times.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"When the most successful companies are anxious, you know we’re in scary times.",Big Tech’s Worries Should Worry You,"When the most successful companies are anxious, you know we’re in scary times. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. When the most successful companies are anxious, you know we’re in scary times. Big Tech’s Worries Should Worry You ",3,0,0.1111111111111111,0.7777777777777778
40,2020-01-01 18:00:07+00:00,1040,News,nyt://article/1c04b687-f4b9-547b-89fd-36e6e62108be,Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,"Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature.",Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,A.I. Is Learning to Read Mammograms,"Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays. Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature. Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays. A.I. Is Learning to Read Mammograms ",5,1,-0.033333333333333326,0.5
41,2020-06-25 09:00:14+00:00,1190,News,nyt://article/1ce887af-534c-55b6-8849-0c7c7527b887,Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him.,"WASHINGTON — For months, lawyers at the Justice Department have been marshaling their forces for a possible antitrust lawsuit against Google, spurred on by the personal interest of Attorney General William P. Barr.",Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him.,Barr’s Interest in Google Antitrust Case Keeps It Moving Swiftly,"Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him. WASHINGTON — For months, lawyers at the Justice Department have been marshaling their forces for a possible antitrust lawsuit against Google, spurred on by the personal interest of Attorney General William P. Barr. Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him. Barr’s Interest in Google Antitrust Case Keeps It Moving Swiftly ",3,2,0.06714285714285716,0.5542857142857143
