,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity,finbert-sentiment-score,finbert-bin
17,2020-10-07 21:02:41+00:00,754,News,nyt://article/0fec5a12-f178-53d6-807f-c99831885ba3,"In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies.","WASHINGTON — The Supreme Court considered on Wednesday whether Google should have to pay Oracle billions of dollars in a long-running lawsuit over software used on many of the world’s smartphones, wrestling during a lively argument with the potentially enormous implications of what has been called the copyright case of the decade.","In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies.",Supreme Court Hears Copyright Battle Between Google and Oracle,"In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies. WASHINGTON — The Supreme Court considered on Wednesday whether Google should have to pay Oracle billions of dollars in a long-running lawsuit over software used on many of the world’s smartphones, wrestling during a lively argument with the potentially enormous implications of what has been called the copyright case of the decade. In a case with major implications, the justices wrestled with a high-tech dispute over computer code using low-tech analogies. Supreme Court Hears Copyright Battle Between Google and Oracle ",2,2,0.1522727272727272,0.58,-0.8492746949195862,-1
19,2021-03-25 22:37:48+00:00,1483,News,nyt://article/1039b473-e21b-598d-a0d2-a2683745725f,Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change.,"The leaders of Google, Facebook and Twitter testified on Thursday before a House committee in their first appearances on Capitol Hill since the start of the Biden administration. As expected, sparks flew.",Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change.,Is a Big Tech Overhaul Just Around the Corner?,"Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change. The leaders of Google, Facebook and Twitter testified on Thursday before a House committee in their first appearances on Capitol Hill since the start of the Biden administration. As expected, sparks flew. Tech executives testified before a House committee on Thursday. We spoke to a legal expert about the likelihood of real change. Is a Big Tech Overhaul Just Around the Corner? ",5,1,0.1357142857142857,0.2619047619047619,0.0,0
20,2021-06-04 10:29:12+00:00,633,News,nyt://article/1120e9b3-6215-5840-a623-e554aa06e52f,"A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility.","It was an odd, unanswerable question. Still, it was on the mind of at least one Google user in India.","A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility.",India’s ‘Ugliest’ Language? Google Had an Answer (and Drew a Backlash).,"A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility. It was an odd, unanswerable question. Still, it was on the mind of at least one Google user in India. A Google fact box singled out Kannada, a language spoken in the country’s south. The faux pas highlights the algorithm’s fallibility. India’s ‘Ugliest’ Language? Google Had an Answer (and Drew a Backlash). ",1,4,-0.2333333333333333,0.325,-0.4828122556209564,0
21,2020-03-03 02:01:49+00:00,403,News,nyt://article/11a49bc1-e07c-5e93-9d25-3cd3a9620df0,"Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts.","SAN FRANCISCO — More than a decade after Google started experimenting with driverless cars, Waymo, the autonomous vehicle unit of Google’s parent company, Alphabet, says it has raised $2.25 billion, mostly from outside investors.","Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts.",Waymo Includes Outsiders in $2.25 Billion Investment Round,"Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts. SAN FRANCISCO — More than a decade after Google started experimenting with driverless cars, Waymo, the autonomous vehicle unit of Google’s parent company, Alphabet, says it has raised $2.25 billion, mostly from outside investors. Alphabet’s self-driving unit, a pioneer in autonomous vehicle research, has been expanding its commercial efforts. Waymo Includes Outsiders in $2.25 Billion Investment Round ",3,2,0.2222222222222222,0.3944444444444444,0.5638223886489868,1
25,2020-10-30 16:13:41+00:00,1161,News,nyt://article/12915540-88da-5a0a-9b30-4593a059370c,These companies have mastered spending big to stay Big Tech.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,These companies have mastered spending big to stay Big Tech.,Amazon and Google’s True Advantage,These companies have mastered spending big to stay Big Tech. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. These companies have mastered spending big to stay Big Tech. Amazon and Google’s True Advantage ,3,1,0.0699999999999999,0.21,0.0,0
26,2021-09-21 14:16:36+00:00,1445,News,nyt://article/1598fe61-4bfa-5bb7-bcaf-11d4f1ab122e,"The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city.","Google announced on Tuesday that it would spend $2.1 billion to buy a sprawling Manhattan office building on the Hudson River waterfront, paying one of the largest prices in recent years for an office building in the United States and providing a jolt of optimism to a real estate industry lashed by the pandemic.","The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city.",Google to Spend $2.1 Billion on Manhattan Office Building,"The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city. Google announced on Tuesday that it would spend $2.1 billion to buy a sprawling Manhattan office building on the Hudson River waterfront, paying one of the largest prices in recent years for an office building in the United States and providing a jolt of optimism to a real estate industry lashed by the pandemic. The technology giant has built a sprawling campus on the West Side of Manhattan and has 12,000 employees in the city. Google to Spend $2.1 Billion on Manhattan Office Building ",1,2,0.05,0.6375,0.0,0
27,2020-10-20 22:53:17+00:00,922,News,nyt://article/15bcc832-e05e-518b-86fc-ad50a88efb9a,"The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.”","Two weeks ago, House lawmakers concluded a 16-month investigation into Amazon, Apple, Google and Facebook and called for sweeping changes to curb their market power. The lawmakers’ verdict: Traditional antitrust laws aren’t up to the challenge, and the laws need their biggest overhaul in more than 40 years.","The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.”",Google Up Against Laws That Thwarted Microsoft (and Others Since 1890),"The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.” Two weeks ago, House lawmakers concluded a 16-month investigation into Amazon, Apple, Google and Facebook and called for sweeping changes to curb their market power. The lawmakers’ verdict: Traditional antitrust laws aren’t up to the challenge, and the laws need their biggest overhaul in more than 40 years. The Justice Department’s antitrust case points to restrictive contracts, a focus that a professor said “is as old as the Sherman Act.” Google Up Against Laws That Thwarted Microsoft (and Others Since 1890) ",2,2,0.175,0.4125,0.0,0
29,2021-02-16 08:00:08+00:00,1111,News,nyt://article/16b5151b-5e8a-5c92-bb6e-9c3446bec249,"Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly.","Google is facing antitrust cases from Europe’s top competition enforcer, the Justice Department and attorneys general from more than 30 states and territories.","Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly.",Big Tech’s Next Big Problem Could Come From People Like ‘Mr. Sweepy’,"Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly. Google is facing antitrust cases from Europe’s top competition enforcer, the Justice Department and attorneys general from more than 30 states and territories. Government antitrust lawsuits have created openings for numerous private cases against Big Tech, with more expected to come. If successful, the cases could cost them dearly. Big Tech’s Next Big Problem Could Come From People Like ‘Mr. Sweepy’ ",5,1,0.1861111111111111,0.4083333333333333,0.0,0
30,2021-04-06 16:50:59+00:00,1057,News,nyt://article/174d765c-5f9e-5b58-bfaa-a0944cd59ffc,"In siding with Google, the Supreme Court gave software experts some love.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"In siding with Google, the Supreme Court gave software experts some love.",Google Won. So Did Tech.,"In siding with Google, the Supreme Court gave software experts some love. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. In siding with Google, the Supreme Court gave software experts some love. Google Won. So Did Tech. ",3,3,0.5,0.6,0.0,0
31,2021-01-04 11:00:08+00:00,1467,News,nyt://article/17654f45-8243-538c-9948-54d87606948d,"The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change.","OAKLAND, Calif. — More than 400 Google engineers and other workers have formed a union, the group revealed on Monday, capping years of growing activism at one of the world’s largest companies and presenting a rare beachhead for labor organizers in staunchly anti-union Silicon Valley.","The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change.","Hundreds of Google Employees Unionize, Culminating Years of Activism","The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change. OAKLAND, Calif. — More than 400 Google engineers and other workers have formed a union, the group revealed on Monday, capping years of growing activism at one of the world’s largest companies and presenting a rare beachhead for labor organizers in staunchly anti-union Silicon Valley. The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change. Hundreds of Google Employees Unionize, Culminating Years of Activism ",5,4,0.225,0.5916666666666667,-0.7757279276847839,-1
33,2020-12-21 23:56:15+00:00,561,News,nyt://article/18952d0f-a173-5c9a-9e51-4ae4cebdb99c,"The company said people use its services because they choose to, not because they lack alternatives.","Google said on Monday that it had not used its multibillion-dollar deals with other large tech firms to protect its position as the dominant online search engine, in the company’s first formal rebuttal to the Justice Department’s accusations that those deals violated antitrust laws.","The company said people use its services because they choose to, not because they lack alternatives.",Google Denies Antitrust Claims in Early Response to U.S. Lawsuit,"The company said people use its services because they choose to, not because they lack alternatives. Google said on Monday that it had not used its multibillion-dollar deals with other large tech firms to protect its position as the dominant online search engine, in the company’s first formal rebuttal to the Justice Department’s accusations that those deals violated antitrust laws. The company said people use its services because they choose to, not because they lack alternatives. Google Denies Antitrust Claims in Early Response to U.S. Lawsuit ",5,2,0.1098214285714285,0.3592261904761905,-0.6747299432754517,-1
35,2020-12-16 19:19:34+00:00,1378,News,nyt://article/1a121624-2517-5b8d-8235-b9fbc456b649,The suit focuses on the advertisements that generate a vast majority of the company’s profits.,"Ten state attorneys general on Wednesday accused Google of illegally abusing its monopoly over the technology that delivers ads online, adding to the company’s legal troubles with a case that strikes at the heart of its business.",The suit focuses on the advertisements that generate a vast majority of the company’s profits.,10 States Accuse Google of Abusing Monopoly in Online Ads,"The suit focuses on the advertisements that generate a vast majority of the company’s profits. Ten state attorneys general on Wednesday accused Google of illegally abusing its monopoly over the technology that delivers ads online, adding to the company’s legal troubles with a case that strikes at the heart of its business. The suit focuses on the advertisements that generate a vast majority of the company’s profits. 10 States Accuse Google of Abusing Monopoly in Online Ads ",1,2,-0.0416666666666666,0.5333333333333333,-0.8532841801643372,-1
36,2020-02-04 00:33:12+00:00,1132,News,nyt://article/1a50ad8a-99d9-5081-8a76-4310ca49ea70,"Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies.","SAN FRANCISCO — When Google’s parent company, Alphabet, said on Monday that revenue at the company soared past $161 billion last year, it was a stark reminder of the widening gap between tech’s wealthiest outfits and the rest of the industry.","Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies.",The Gap Between the Haves and Have-Nots of Tech Widens,"Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies. SAN FRANCISCO — When Google’s parent company, Alphabet, said on Monday that revenue at the company soared past $161 billion last year, it was a stark reminder of the widening gap between tech’s wealthiest outfits and the rest of the industry. Despite regulatory scrutiny and pressure from lawmakers, the industry’s wealthiest are continuing to grow at remarkable speeds for big companies. The Gap Between the Haves and Have-Nots of Tech Widens ",2,1,0.15,0.3738095238095238,0.7318661212921143,1
40,2020-01-01 18:00:07+00:00,1040,News,nyt://article/1c04b687-f4b9-547b-89fd-36e6e62108be,Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,"Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature.",Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,A.I. Is Learning to Read Mammograms,"Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays. Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature. Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays. A.I. Is Learning to Read Mammograms ",5,1,-0.0333333333333333,0.5,0.0,0
41,2020-06-25 09:00:14+00:00,1190,News,nyt://article/1ce887af-534c-55b6-8849-0c7c7527b887,Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him.,"WASHINGTON — For months, lawyers at the Justice Department have been marshaling their forces for a possible antitrust lawsuit against Google, spurred on by the personal interest of Attorney General William P. Barr.",Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him.,Barr’s Interest in Google Antitrust Case Keeps It Moving Swiftly,"Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him. WASHINGTON — For months, lawyers at the Justice Department have been marshaling their forces for a possible antitrust lawsuit against Google, spurred on by the personal interest of Attorney General William P. Barr. Attorney General William Barr’s attention to the Justice Department investigation shows the high stakes for the agency and for him. Barr’s Interest in Google Antitrust Case Keeps It Moving Swiftly ",3,2,0.0671428571428571,0.5542857142857143,0.0,0
42,2021-04-07 19:00:08+00:00,1477,Op-Ed,nyt://article/1d869058-af65-5df8-b6be-5ff351543e76,I learned the hard way that no publicly traded company is a family.,"I used to be a Google engineer. That often feels like the defining fact about my life. When I joined the company after college in 2015, it was at the start of a multiyear reign atop Forbes’s list of best workplaces.",I learned the hard way that no publicly traded company is a family.,"After Working at Google, I’ll Never Let Myself Love a Job Again","I learned the hard way that no publicly traded company is a family. I used to be a Google engineer. That often feels like the defining fact about my life. When I joined the company after college in 2015, it was at the start of a multiyear reign atop Forbes’s list of best workplaces. I learned the hard way that no publicly traded company is a family. After Working at Google, I’ll Never Let Myself Love a Job Again ",2,2,0.1527777777777777,0.3527777777777777,0.0,0
43,2020-09-25 16:14:31+00:00,1049,News,nyt://article/1e2c691a-e827-52ac-ae55-800fef9ba141,Google’s parent company was hit with a wave of lawsuits after The New York Times reported that an accused executive had received a $90 million exit package.,"OAKLAND, Calif. — Google’s parent company, Alphabet, has settled a series of shareholder lawsuits over its handling of sexual harassment claims, agreeing to greater oversight by its board of directors in future cases of sexual misconduct and committing to spend $310 million over the next decade on corporate diversity programs.",Google’s parent company was hit with a wave of lawsuits after The New York Times reported that an accused executive had received a $90 million exit package.,Alphabet Settles Shareholder Suits Over Sexual Harassment Claims,"Google’s parent company was hit with a wave of lawsuits after The New York Times reported that an accused executive had received a $90 million exit package. OAKLAND, Calif. — Google’s parent company, Alphabet, has settled a series of shareholder lawsuits over its handling of sexual harassment claims, agreeing to greater oversight by its board of directors in future cases of sexual misconduct and committing to spend $310 million over the next decade on corporate diversity programs. Google’s parent company was hit with a wave of lawsuits after The New York Times reported that an accused executive had received a $90 million exit package. Alphabet Settles Shareholder Suits Over Sexual Harassment Claims ",1,3,0.2525252525252525,0.4482323232323232,-0.9079002737998962,-2
51,2021-06-24 17:19:35+00:00,332,News,nyt://article/2bbb2845-2704-5c26-8b1d-24ba517dcbf3,"The tech giant intends to start gradually blocking trackers, or cookies, from Chrome in mid-2023 and eliminate them altogether later that year.","Google pushed back plans to phase out a widely used technology to track the web activity of users, in an effort to address growing concerns from regulators and digital advertising industry rivals.","The tech giant intends to start gradually blocking trackers, or cookies, from Chrome in mid-2023 and eliminate them altogether later that year.",Google delays a privacy change to its Chrome web browser.,"The tech giant intends to start gradually blocking trackers, or cookies, from Chrome in mid-2023 and eliminate them altogether later that year. Google pushed back plans to phase out a widely used technology to track the web activity of users, in an effort to address growing concerns from regulators and digital advertising industry rivals. The tech giant intends to start gradually blocking trackers, or cookies, from Chrome in mid-2023 and eliminate them altogether later that year. Google delays a privacy change to its Chrome web browser. ",4,2,-0.0142857142857142,0.3428571428571428,-0.7702476978302002,-1
52,2021-06-11 21:37:13+00:00,1479,News,nyt://article/2ccb02f5-bdca-5bcc-96e4-9c724de89272,"Apple, under fire for turning over the data of two lawmakers to the Trump Justice Dept., said it did so unknowingly, while Google fought a request for New York Times data because it related to a corporate client.","On Feb. 6, 2018, Apple received a grand jury subpoena for the names and phone records connected to 109 email addresses and phone numbers. It was one of the more than 250 data requests that the company received on average from U.S. law enforcement each week at the time. An Apple paralegal complied and provided the information.","Apple, under fire for turning over the data of two lawmakers to the Trump Justice Dept., said it did so unknowingly, while Google fought a request for New York Times data because it related to a corporate client.","In Leak Investigation, Tech Giants Are Caught Between Courts and Customers","Apple, under fire for turning over the data of two lawmakers to the Trump Justice Dept., said it did so unknowingly, while Google fought a request for New York Times data because it related to a corporate client. On Feb. 6, 2018, Apple received a grand jury subpoena for the names and phone records connected to 109 email addresses and phone numbers. It was one of the more than 250 data requests that the company received on average from U.S. law enforcement each week at the time. An Apple paralegal complied and provided the information. Apple, under fire for turning over the data of two lawmakers to the Trump Justice Dept., said it did so unknowingly, while Google fought a request for New York Times data because it related to a corporate client. In Leak Investigation, Tech Giants Are Caught Between Courts and Customers ",5,2,0.1247474747474747,0.401010101010101,-0.7551385760307312,-1
56,2020-02-06 11:51:33+00:00,1392,News,nyt://article/2f57fbcf-0b67-5a09-8861-b6e666b52d73,The tech giant is reportedly weighing whether to divest its third-party ad business to assuage antitrust regulators.," Topic A in New York City: a state law that eliminates broker fees for renters. Tenants are thrilled; landlords and brokers, not so much. Send us your thoughts. (Want this in your inbox each morning? Sign up here.)",The tech giant is reportedly weighing whether to divest its third-party ad business to assuage antitrust regulators.,Should Google Shrink to Save Itself?,"The tech giant is reportedly weighing whether to divest its third-party ad business to assuage antitrust regulators.  Topic A in New York City: a state law that eliminates broker fees for renters. Tenants are thrilled; landlords and brokers, not so much. Send us your thoughts. (Want this in your inbox each morning? Sign up here.) The tech giant is reportedly weighing whether to divest its third-party ad business to assuage antitrust regulators. Should Google Shrink to Save Itself? ",2,1,0.1872727272727272,0.6709090909090909,0.0,0
57,2021-03-16 18:28:47+00:00,338,News,nyt://article/31e42817-f169-55b6-9def-258a40cbe78e,"Google said that starting July 1, it would take 15 percent of the first $1 million developers take in from certain app sales, down from 30 percent.","Google is cutting in half its commission on developers’ first $1 million in app sales, following a similar move by Apple that is aimed at appeasing developers and regulators who accuse the companies of abusing their dominance of the smartphone industry.","Google said that starting July 1, it would take 15 percent of the first $1 million developers take in from certain app sales, down from 30 percent.",Google reduces some app-store fees amid criticism.,"Google said that starting July 1, it would take 15 percent of the first $1 million developers take in from certain app sales, down from 30 percent. Google is cutting in half its commission on developers’ first $1 million in app sales, following a similar move by Apple that is aimed at appeasing developers and regulators who accuse the companies of abusing their dominance of the smartphone industry. Google said that starting July 1, it would take 15 percent of the first $1 million developers take in from certain app sales, down from 30 percent. Google reduces some app-store fees amid criticism. ",1,4,0.0077533577533577,0.3451770451770451,-0.9638793468475342,-2
62,2021-03-31 18:30:05+00:00,261,News,nyt://article/37742926-1fbe-5d90-8d3a-a2425f4c849b,Workers will have the option to return in April but can continue to work from home until September.,"Google employees in the United States will likely be allowed to return to the office next month, the company said on Wednesday.",Workers will have the option to return in April but can continue to work from home until September.,Google to welcome some employees back to office in April.,"Workers will have the option to return in April but can continue to work from home until September. Google employees in the United States will likely be allowed to return to the office next month, the company said on Wednesday. Workers will have the option to return in April but can continue to work from home until September. Google to welcome some employees back to office in April. ",3,2,0.2,0.475,0.0,0
